id	route	name	reference	status	level	funding	duration	core_options	eqa	link	last_updated
127	Engineering and manufacturing	Wood product manufacturing operative	ST0531	Approved for delivery	2	8000	24	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/wood-product-manufacturing-operative-v1-0	03/07/2019
128	Construction	Road surfacing operative	ST0693	Approved for delivery	2	9000	15	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/road-surfacing-operative-v1-0	03/07/2019
129	Engineering and manufacturing	Commercial catering equipment technician	ST0791	Approved for delivery	3	15000	30	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/commercial-catering-equipment-technician-v1-0	03/07/2019
130	Health and science	Dietitian (integrated degree)	ST0599	Approved for delivery	6	24000	48	0	TBC - Quality Assurance Agency (QAA)	https://www.instituteforapprenticeships.org/apprenticeship-standards/dietitian-(integrated-degree)-v1-0	03/07/2019
131	Health and science	Pharmacy technician (Integrated)	ST0300	Approved for delivery	3	8000	24	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/pharmacy-technician-(integrated)-v1-0	03/07/2019
132	Health and science	Speech and language therapist (integrated degree)	ST0618	Approved for delivery	6	25000	48	0	TBC - Quality Assurance Agency (QAA)	https://www.instituteforapprenticeships.org/apprenticeship-standards/speech-and-language-therapist-(integrated-degree)-v1-0	03/07/2019
133	Engineering and manufacturing	Materials science technologist (degree)	ST0675	Approved for delivery	6	24000	48	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/materials-science-technologist-(degree)-v1-0	03/07/2019
134	Engineering and manufacturing	Marine surveyor (degree)	ST0772	Approved for delivery	6	24000	48	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/marine-surveyor-(degree)-v1-0	03/07/2019
135	Sales, marketing and procurement	Marketing assistant	ST0807	Approved for delivery	3	7000	18	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/marketing-assistant-v1-0	03/07/2019
136	Engineering and manufacturing	Automation and controls engineering technician	ST0662	Approved for delivery	4	14000	48	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/automation-and-controls-engineering-technician-v1-0	03/07/2019
137	Engineering and manufacturing	Electronic systems principal engineer	ST0681	Approved for delivery	7	14000	36	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/electronic-systems-principal-engineer-v1-0	03/07/2019
138	Construction	Interior systems installer	ST0388	Approved for delivery	2	14000	24	1	Construction Industry Training Board (CITB)	https://www.instituteforapprenticeships.org/apprenticeship-standards/interior-systems-installer-v1-0	03/07/2019
139	Agriculture, environmental and animal care	Ecologist (degree)	ST0577	Approved for delivery	7	9000	36	1	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/ecologist-(degree)-v1-0	28/06/2019
140	Health and science	Environmental health practitioner (integrated degree)	ST0714	Approved for delivery	6	22000	48	0	TBC - Quality Assurance Agency (QAA)	https://www.instituteforapprenticeships.org/apprenticeship-standards/environmental-health-practitioner-(integrated-degree)-v1-0	14/06/2019
141	Agriculture, environmental and animal care	Environmental practitioner (degree)	ST0778	Approved for delivery	6	27000	60	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/environmental-practitioner-(degree)-v1-0	14/06/2019
142	Construction	Acoustics technician	ST0613	Approved for delivery	4	11000	24	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/acoustics-technician-v1-0	11/06/2019
143	Transport and logistics	Transport planner (degree)	ST0698	Approved for delivery	6	23000	60	0	TBC - Quality Assurance Agency (QAA)	https://www.instituteforapprenticeships.org/apprenticeship-standards/transport-planner-(degree)-v1-0	11/06/2019
144	Creative and design	Broadcast and media systems technical operator	ST0424	Approved for delivery	3	9000	22	0	National Skills Academy for Rail (NSAR)	https://www.instituteforapprenticeships.org/apprenticeship-standards/broadcast-and-media-systems-technical-operator-v1-0	07/06/2019
145	Engineering and manufacturing	Print technician	ST0309	Approved for delivery	3	12000	36	1	Ofqual	https://www.instituteforapprenticeships.org/apprenticeship-standards/print-technician-v1-0	24/05/2019
146	Sales, marketing and procurement	Buying and merchandising assistant	ST0683	Approved for delivery	4	6000	18	1	People 1st International	https://www.instituteforapprenticeships.org/apprenticeship-standards/buying-and-merchandising-assistant-v1-0	16/05/2019
147	Engineering and manufacturing	Technical dyer and colourist	ST0678	Approved for delivery	4	9000	36	0	UK Fashion & Textile Association (UKFT)	https://www.instituteforapprenticeships.org/apprenticeship-standards/technical-dyer-and-colourist-v1-0	16/05/2019
148	Engineering and manufacturing	Drinks dispense technician	ST0752	Approved for delivery	3	8000	18	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/drinks-dispense-technician-v1-0	13/05/2019
149	Health and science	Research scientist	ST0759	Approved for delivery	7	18000	30	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/research-scientist-v1-0	13/05/2019
150	Engineering and manufacturing	Marine technical superintendent (degree)	ST0623	Approved for delivery	7	12000	36	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/marine-technical-superintendent-(degree)-v1-1	19/07/2019
151	Engineering and manufacturing	Food and drink engineer	ST0624	Approved for delivery	5	18000	36	0	Ofqual	https://www.instituteforapprenticeships.org/apprenticeship-standards/food-and-drink-engineer-v1-0	10/05/2019
152	Business and administration	Career development professional	ST0694	Approved for delivery	6	9000	24	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/career-development-professional-v1-0	10/05/2019
153	Health and science	Sporting excellence professional	ST0524	Approved for delivery	3	8000	18	1	Ofqual	https://www.instituteforapprenticeships.org/apprenticeship-standards/sporting-excellence-professional-v1-0	07/05/2019
154	Construction	Building control surveyor (degree)	ST0652	Approved for delivery	6	24000	48	0	TBC - Quality Assurance Agency (QAA)	https://www.instituteforapprenticeships.org/apprenticeship-standards/building-control-surveyor-(degree)-v1-0	02/05/2019
155	Digital	Network cable installer	ST0485	Approved for delivery	3	9000	12	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/network-cable-installer-v1-1	02/12/2019
156	Protective services	Specialist rescue operative	ST0487	Approved for delivery	4	16000	18	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/specialist-rescue-operative-v1-0	18/04/2019
157	Creative and design	Cultural heritage conservator (degree)	ST0628	Approved for delivery	7	27000	54	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/cultural-heritage-conservator-(degree)-v1-0	18/04/2019
158	Engineering and manufacturing	Vehicle damage assessor	ST0406	Approved for delivery	4	9000	36	0	TBC - Optimum EQA Ltd	https://www.instituteforapprenticeships.org/apprenticeship-standards/vehicle-damage-assessor-v1-0	18/04/2019
159	Agriculture, environmental and animal care	Packhouse line leader	ST0016	Approved for delivery	3	6000	18	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/packhouse-line-leader-v1-0	16/04/2019
160	Health and science	Therapeutic radiographer (integrated degree)	ST0620	Approved for delivery	6	19000	36	0	TBC - Quality Assurance Agency (QAA)	https://www.instituteforapprenticeships.org/apprenticeship-standards/therapeutic-radiographer-(integrated-degree)-v1-0	15/04/2019
161	Health and science	Clinical coder	ST0535	Approved for delivery	3	5000	18	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/clinical-coder-v1-0	12/04/2019
162	Creative and design	Museums and galleries technician	ST0559	Approved for delivery	3	11000	15	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/museums-and-galleries-technician-v1-0	12/04/2019
163	Digital	Digital support technician	ST0120	Approved for delivery	3	13000	15	1	National Skills Academy for Rail (NSAR)	https://www.instituteforapprenticeships.org/apprenticeship-standards/digital-support-technician-v1-0	11/04/2019
164	Construction	Facilities services operative	ST0617	Approved for delivery	2	3000	12	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/facilities-services-operative-v1-0	11/04/2019
165	Creative and design	Post production technical operator	ST0696	Approved for delivery	4	9000	12	0	National Skills Academy for Rail (NSAR)	https://www.instituteforapprenticeships.org/apprenticeship-standards/post-production-technical-operator-v1-0	11/04/2019
166	Creative and design	Historic environment advice assistant	ST0749	Approved for delivery	4	10000	24	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/historic-environment-advice-assistant-v1-0	11/04/2019
167	Creative and design	Photographic assistant	ST0506	Approved for delivery	3	7000	18	0	National Skills Academy for Rail (NSAR)	https://www.instituteforapprenticeships.org/apprenticeship-standards/photographic-assistant-v1-0	10/04/2019
168	Health and science	Nursing associate (NMC 2018)	ST0827	Approved for delivery	5	15000	24	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/nursing-associate-(nmc-2018)-v1-0	08/04/2019
169	Health and science	Arts therapist (degree)	ST0633	Approved for delivery	7	17000	24	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/arts-therapist-(degree)-v1-0	05/04/2019
170	Health and science	Diagnostic radiographer (Integrated Degree)	ST0619	Approved for delivery	6	19000	36	0	TBC - Quality Assurance Agency (QAA)	https://www.instituteforapprenticeships.org/apprenticeship-standards/diagnostic-radiographer-(integrated-degree)-v1-0	05/04/2019
171	Education and childcare	Early years educator	ST0135	Approved for delivery	3	6000	18	0	Ofqual	https://www.instituteforapprenticeships.org/apprenticeship-standards/early-years-educator-v1-2	28/05/2020
172	Creative and design	Archaeological technician	ST0221	Approved for delivery	3	9000	12	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/archaeological-technician-v1-0	29/03/2019
173	Construction	Tramway construction operative	ST0669	Approved for delivery	2	15000	18	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/tramway-construction-operative-v1-0	28/03/2019
174	Construction	Chartered town planner (degree)	ST0536	Approved for delivery	7	27000	60	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/chartered-town-planner-(degree)-v1-0	22/03/2019
